,Start,End
0,2017-04-24 10:40:27.475931,2017-04-24 10:40:32.240487
1,2017-04-24 10:40:34.572973,2017-04-24 10:40:42.226432
2,2017-04-24 10:40:46.084034,2017-04-24 10:40:46.128734
3,2017-04-24 10:40:46.193842,2017-04-24 10:40:47.559697
4,2017-04-24 10:40:48.692195,2017-04-24 10:40:48.758697
5,2017-04-24 10:40:48.961875,2017-04-24 10:40:49.026700
6,2017-04-24 10:40:49.198610,2017-04-24 10:40:49.263155
7,2017-04-24 10:40:49.329263,2017-04-24 10:40:49.462102
8,2017-04-24 10:40:49.527278,2017-04-24 10:40:51.698990
9,2017-04-24 10:40:52.266608,2017-04-24 10:40:54.735356
10,2017-04-24 10:40:58.700968,2017-04-24 10:41:02.129148
